category,title,summary,keywords,action,owner,sla
Leave & Attendance,Planned Leave Application,Employees should apply planned leave at least 3 working days in advance through Bloomie or the HR portal.,leave;annual leave;planned leave;approval,Raise a Leave / Attendance ticket if manager approval is pending,HR Operations,2 business days
Leave & Attendance,Unplanned Sick Leave,Sick leave can be marked on the same day before shift start and supporting documents may be requested for absence longer than 2 days.,sick leave;medical;absence,Ask Bloomie for process or raise a ticket for case-specific help,HR Operations,1 business day
Payroll,Payroll Timeline & Cutoff,Payroll inputs freeze on the 25th of every month and approved changes after cutoff move to the next cycle.,payroll;salary;cutoff;arrears,Raise a Payroll ticket for employee-specific corrections,Payroll Team,3 business days
Payroll,Reimbursement Claim Window,Business reimbursements must be submitted with bills within 15 days from expense date.,reimbursement;claims;bills;finance,Raise a Reimbursement / Payroll ticket with receipts attached,Finance Operations,5 business days
POSH / Safety,POSH Reporting Path,Employees can report harassment or unsafe conduct confidentially and cases are routed only to authorized investigators.,posh;safety;harassment;misconduct,Raise a POSH / Safety ticket for confidential handling,Ethics & Compliance,24 hours
Employee Referral,Referral Bonus Eligibility,Referral bonus applies only after the referred candidate completes the probation period successfully.,referral;hiring;bonus;candidate,Use Employee Referral flow or raise a Referral / Hiring ticket,Talent Acquisition,5 business days
Workplace Conduct,Code of Conduct Basics,Employees must avoid conflicts of interest, data leakage, harassment, and misuse of company systems.,conduct;misconduct;ethics;disciplinary,Ask Bloomie for policy guidance or raise a confidential ticket,Ethics & Compliance,2 business days
Hybrid Work,Work From Home Exceptions,Hybrid and remote exceptions require manager approval plus HR confirmation for repeated or long-duration requests.,wfh;remote;hybrid;approval,Raise a Workplace Flexibility ticket if approval is delayed,HR Business Partner,2 business days
Onboarding,Joining Documentation,All new joiners must submit identity, address, bank, and tax documents before final payroll activation.,onboarding;documents;bank;tax,Raise an Onboarding ticket if your access or verification is blocked,People Operations,2 business days
Offboarding,Full & Final Settlement,Full and final settlement starts after asset clearance and attendance closure are completed by all functions.,exit;fnf;clearance;offboarding,Raise an Exit / FNF ticket for delays or clarifications,HR Operations,7 business days
